anime_id,name,genre,type,episodes,rating,members
17389,kingdom 2nd season,"Action, Historical, Military, Seinen",TV,39,8.57,31234.0
170,slam dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570.0
10162,usagi drop,"Josei, Slice of Life",TV,11,8.56,194855.0
18617,girls und panzer der film,"Military, School",Movie,1,8.55,25641.0
32182,mob psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716.0
877,nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256.0
2251,baccano ,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215.0
24687,mushishi zoku shou  odoro no michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011.0
16498,shingeki no kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229.0
10030,bakuman  2nd season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561.0
5941,cross game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108.0
30346,doukyuusei  movie ,"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864.0
3784,evangelion  2 0 you can  not  advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224.0
13125,shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376.0
12029,uchuu senkan yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223.0
14397,chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074.0
10087,fate zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630.0
14719,jojo no kimyou na bouken  tv ,"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197.0
9756,mahou shoujo madoka magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974.0
10165,nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436.0
13601,psycho pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109.0
22789,barakamon,"Comedy, Slice of Life",TV,12,8.5,225927.0
30230,diamond no ace  second season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531.0
18115,magi  the kingdom of magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026.0
11981,mahou shoujo madoka magica movie 3  hangyaku no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735.0
11917,major  world series,"Comedy, Drama, Sports",OVA,2,8.5,13405.0
205,samurai champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076.0
32282,shokugeki no souma  ni no sara,"Ecchi, School, Shounen",TV,13,8.5,185015.0
6594,katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241.0
11979,mahou shoujo madoka magica movie 2  eien no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361.0
7655,major s6,"Comedy, Drama, Sports",TV,25,8.49,24788.0
2246,mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850.0
25835,shirobako,"Comedy, Drama",TV,24,8.49,146895.0
2921,ashita no joe 2,"Drama, Sports",TV,47,8.48,6259.0
136,hunter x hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255.0
30503,noragami aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434.0
12531,sakamichi no apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592.0
523,tonari no totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484.0
467,ghost in the shell  stand alone complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491.0
572,kaze no tani no nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273.0
19815,no game no life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291.0
2559,romeo no aoi sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074.0
392,yuu yuu hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017.0
486,kino no tabi  the beautiful world,"Action, Adventure, Slice of Life",TV,13,8.46,102822.0
11771,kuroko no basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315.0
1698,nodame cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025.0
5341,ookami to koushinryou ii,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491.0
25781,shingeki no kyojin  kuinaki sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543.0
10863,steins gate  oukoubakko no poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548.0
28701,fate stay night  unlimited blade works 2nd season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987.0
5420,kemono no souja erin,"Drama, Fantasy",TV,50,8.45,36751.0
9260,kizumonogatari i  tekketsu hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579.0
32,neon genesis evangelion  the end of evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630.0
4224,toradora ,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817.0
2236,toki wo kakeru shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206.0
2685,tsubasa  tokyo revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963.0
31181,owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855.0
45,rurouni kenshin  meiji kenkaku romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928.0
2418,stranger  mukou hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503.0
1365,detective conan movie 06  the phantom of baker street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462.0
22297,fate stay night  unlimited blade works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484.0
627,major s1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061.0
10937,mobile suit gundam  the origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420.0
23755,nanatsu no taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627.0
4081,natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736.0
4155,one piece film  strong world,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020.0
1889,higurashi no naku koro ni kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101.0
137,hunter x hunter ova,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168.0
139,hunter x hunter  greed island final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787.0
23317,kuroshitsuji  book of murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261.0
558,major s2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689.0
5040,one outs,"Psychological, Seinen, Sports",TV,25,8.41,83056.0
57,beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328.0
33,berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430.0
5,cowboy bebop  tengoku no tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636.0
1842,major s3,"Drama, Shounen, Sports",TV,26,8.4,29528.0
6336,mobile suit gundam unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076.0
20651,natsume yuujinchou  itsuka yuki no hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302.0
1210,nhk ni youkoso ,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228.0
338,rose of versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188.0
13759,sakurasou no pet na kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375.0
6547,angel beats ,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796.0
5081,bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268.0
32867,bungou stray dogs 2nd season,"Mystery, Seinen, Supernatural",TV,12,8.39,83641.0
264,hajime no ippo  champion road,"Comedy, Shounen, Sports",Special,1,8.39,47840.0
12859,one piece film  z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051.0
853,ouran koukou host club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271.0
5460,detective conan movie 13  the raven chaser,"Action, Mystery, Police, Shounen",Movie,1,8.38,21798.0
6746,durarara  ,"Action, Mystery, Supernatural",TV,24,8.38,556431.0
5690,nodame cantabile finale,"Comedy, Josei, Music, Romance",TV,11,8.38,67697.0
329,planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044.0
34240,shelter,"Music, Sci-Fi",Music,1,8.38,71136.0
513,tenkuu no shiro laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061.0
6945,gintama  shiroyasha koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213.0
1142,hachimitsu to clover ii,"Drama, Josei, Romance",TV,12,8.37,61493.0
6811,inuyasha  kanketsu hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37,99128.0
16664,kaguya hime no monogatari,"Fantasy, Historical",Movie,1,8.37,45547.0
1604,katekyo hitman reborn ,"Action, Comedy, Shounen, Super Power",TV,203,8.37,258103.0
22145,kuroshitsuji  book of circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37,122895.0
2966,ookami to koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932.0
31964,boku no hero academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,282002.0
19363,gin no saji 2nd season,"Comedy, School, Shounen, Slice of Life",TV,11,8.36,67032.0
18195,little busters   refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36,71820.0
9890,major  message,"Comedy, Drama, Sports",OVA,1,8.36,12282.0
9130,saint seiya  the lost canvas   meiou shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36,27532.0
9863,sket dance,"Comedy, School, Shounen",TV,77,8.36,101027.0
7674,bakuman ,"Comedy, Romance, Shounen",TV,25,8.35,246899.0
11843,danshi koukousei no nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,258914.0
16782,kotonoha no niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741.0
28675,kyoukai no kanata movie  i  039 ll be here   mirai hen,"Fantasy, Slice of Life, Supernatural",Movie,1,8.35,59815.0
3226,major s4,"Comedy, Drama, Shounen, Sports",TV,26,8.35,28002.0
21557,omoide no marnie,"Drama, Mystery, Psychological",Movie,1,8.35,53590.0
31715,working     lord of the takanashi,"Comedy, Romance, Slice of Life",Special,1,8.34,31856.0
43,ghost in the shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036.0
9617,k on  movie,"Comedy, Music, Slice of Life",Movie,1,8.34,115252.0
31051,kuroko no basket  saikou no present desu,"Action, School, Shounen, Sports",Special,1,8.34,22900.0
10153,mahou shoujo lyrical nanoha  the movie 2nd a  039 s,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34,13315.0
1033,sennen joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34,58492.0
32188,steins gate  kyoukaimenjou no missing link   divide by zero,"Sci-Fi, Thriller",Special,1,8.34,38147.0
3091,xxxholic kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,74941.0
12115,berserk  ougon jidai hen iii   kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8.33,65594.0
28223,death parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914.0
121,fullmetal alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384.0
3002,gyakkyou burai kaiji  ultimate survivor,"Game, Psychological, Seinen, Thriller",TV,26,8.33,98996.0
138,hunter x hunter  greed island,"Action, Adventure, Shounen, Super Power",OVA,8,8.33,57029.0
6675,redline,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392.0
10800,chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32,158561.0
32005,detective conan movie 20  the darkest nightmare,"Action, Mystery, Police, Shounen",Movie,1,8.32,6229.0
813,dragon ball z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662.0
27821,fate stay night  unlimited blade works   prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32,106382.0
28725,kokoro ga sakebitagatterunda ,"Drama, Romance, School",Movie,1,8.32,59652.0
585,mimi wo sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,8.32,94435.0
16067,nagi no asukara,"Drama, Fantasy, Romance",TV,26,8.32,224947.0
30,neon genesis evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946.0
31490,one piece film  gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.32,18642.0
759,tokyo godfathers,"Comedy, Drama",Movie,1,8.32,89424.0
6,trigun,"Action, Comedy, Sci-Fi",TV,26,8.32,283069.0
6864,xxxholic rou,"Mystery, Supernatural",OVA,2,8.32,36353.0
9735,gintama  shinyaku benizakura hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,14002.0
11977,mahou shoujo madoka magica movie 1  hajimari no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.31,88164.0
11123,sekaiichi hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,69253.0
23847,yahari ore no seishun love comedy wa machigatteiru  zoku,"Comedy, Drama, Romance, School",TV,13,8.31,222994.0
33161,yahari ore no seishun love comedy wa machigatteiru  zoku ova,"Comedy, Romance, School",OVA,1,8.31,35120.0
962,aria the natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3,39596.0
1519,black lagoon  the second barrage,"Action, Seinen",TV,12,8.3,203233.0
2167,clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690.0
16706,kami nomi zo shiru sekai  megami hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3,142612.0
5681,summer wars,"Comedy, Sci-Fi",Movie,1,8.3,223359.0
3901,baccano  specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29,100412.0
6467,detective conan movie 14  the lost ship in the sky,"Action, Mystery, Police, Shounen",Movie,1,8.29,20602.0
10271,gyakkyou burai kaiji  hakairoku hen,"Game, Psychological, Seinen, Thriller",TV,26,8.29,55566.0
22507,initial d final stage,"Cars, Seinen, Sports",TV,4,8.29,19702.0
3701,kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29,56927.0
19123,one piece  episode of merry   mou hitori no nakama no monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.29,17247.0
33255,saiki kusuo no ψ nan  tv ,"Comedy, School, Shounen, Supernatural",TV,120,8.29,47092.0
372,cardcaptor sakura movie 2  fuuin sareta card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,8.28,60637.0
265,hajime no ippo  mashiba vs  kimura,"Comedy, Shounen, Sports",OVA,1,8.28,40623.0
25681,kamisama hajimemashita ,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,8.28,91796.0
4722,skip beat ,"Comedy, Drama, Romance, Shoujo",TV,25,8.28,134818.0
24277,yowamushi pedal  grande road,"Comedy, Drama, Shounen, Sports",TV,24,8.28,50778.0
239,gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,103828.0
512,majo no takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,8.27,152331.0
4477,nodame cantabile  paris hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,11,8.27,70822.0
15323,one piece  episode of nami   koukaishi no namida to nakama no kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.27,24707.0
31174,osomatsu san,"Comedy, Parody",TV,25,8.27,60988.0
23327,space dandy 2nd season,"Comedy, Sci-Fi, Space",TV,13,8.27,60918.0
5365,tsumiki no ie,Drama,Movie,1,8.27,45189.0
3702,detroit metal city,"Comedy, Music",OVA,12,8.26,104893.0
3167,eve no jikan,"Sci-Fi, Slice of Life",ONA,6,8.26,99074.0
7465,eve no jikan  movie ,"Sci-Fi, Slice of Life",Movie,1,8.26,66376.0
7054,kaichou wa maid sama ,"Comedy, Romance, School, Shoujo",TV,26,8.26,391628.0
1257,saint seiya  meiou hades juuni kyuu hen,"Adventure, Sci-Fi, Shounen",OVA,13,8.26,23701.0
23283,zankyou no terror,"Psychological, Thriller",TV,11,8.26,342893.0
2025,darker than black  kuro no keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334.0
235,detective conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,2.0,8.25,114702.0
1364,detective conan movie 05  countdown to heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.25,25432.0
18689,diamond no ace,"Comedy, School, Shounen, Sports",TV,75,8.25,81384.0
22043,fairy tail  2014 ,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,8.25,255076.0
31988,hibike  euphonium 2,"Drama, Music, School",TV,13,8.25,47716.0
20899,jojo no kimyou na bouken  stardust crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.25,120089.0
1453,maison ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,96,8.25,22079.0
23623,non non biyori repeat,"Comedy, School, Seinen, Slice of Life",TV,12,8.26,64230.0
1559,shijou saikyou no deshi kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,50,8.25,129112.0
1382,yuusha ou gaogaigar final,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8,8.25,5001.0
23289,gekkan shoujo nozaki kun,"Comedy, Romance, School",TV,12,8.24,292622.0
18,initial d fourth stage,"Action, Cars, Drama, Seinen, Sports",TV,24,8.24,41584.0
4814,junjou romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.24,87617.0
16662,kaze tachinu,"Drama, Historical, Romance",Movie,1,8.24,75359.0
12031,kingdom,"Action, Historical, Military, Seinen",TV,38,8.24,54211.0
8129,kuragehime,"Comedy, Josei, Slice of Life",TV,11,8.24,108053.0
14513,magi  the labyrinth of magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24,317513.0
2581,mobile suit gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.24,120351.0
30015,relife,"Romance, School, Slice of Life",TV,13,8.24,202249.0
6171,saint seiya  the lost canvas   meiou shinwa,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.24,40355.0
